unitid,hospital.name,year,HD2013.City.location.of.hospital,HD2013.ZIP.code,HD2013.Longitude.location.of.hospital,HD2013.Latitude.location.of.hospital,IC2013.Patients.total,IC2013.Number.of.first.time.patients.who.recieved.health.services,IC2013.Percent.of.first.time.patients.who.recieved.health.services,DRVIC2013.Percent.admitted...total,DRVIC2013.Percent.admitted...men,DRVIC2013.Percent.admitted...women,DRVIC2013.Admissions.yield...full.time,DRVIC2013.Hospital.monthly.expenses..2013.14,HD2013.State.abbreviation,DRVEF122013.12.month.full.time.equivalent.enrollment..2012.13,state.x,city.x,zipcode,rank,centile,superzip,adultpop,treatment,income,latitude,longitude
183044,PHC Ankuta,2013,karu,03824-3547,9.253,7.941,17938,2756,18,78,73,82,21,16496,nasarawa,15246,NH,karu,183044,21,16496,0,15246,78,17938,9.253,7.941
183062,PHC Edon,2013,karu,03435-1506,9.222,7.953,6144,1185,0,82,77,86,25,12776,nasarawa,5098,NH,karu,183062,25,12776,0,5098,82,6144,9.222,7.953
183071,PHC Kuda,2013,karu,03101-1113,9.211,7.865,193,79,8,73,74,72,63,13762,nasarawa,927,NH,karu,183071,63,13762,0,927,73,193,9.211,7.865
183080,PHC Pandan Gwari,2013,karu,03264-1595,9.324,7.738,5120,866,10,77,73,82,23,12610,nasarawa,4838,NH,karu,183080,23,12610,0,4838,77,5120,9.324,7.738
183211,PHC Saka,2013,karu,3060,8.799,7.714,914,206,12,89,87,90,26,28055,nasarawa,1811,NH,karu,183211,26,28055,0,1811,89,914,8.799,7.714
183239,Metro Clinic,2013,karu,03102-1310,9.024,7.603,3829,305,13,74,74,73,18,35204,nasarawa,2059,NH,karu,183239,18,35204,0,2059,74,3829,9.024,7.603
183257,PHC Gbaradna,2013,karu,03301-3471,9.130,7.708,NA,NA,NA,NA,NA,NA,NA,7065,nasarawa,1786,NH,karu,183257,NA,7065,NA,1786,NA,NA,9.130,7.708
183275,Tula Medical Center,2013,burutu,3054,5.055,5.749,NA,NA,NA,NA,NA,NA,NA,19800,delta,97,NH,burutu,183275,NA,19800,NA,97,NA,NA,5.055,5.749
183804,PHC Saminaka,2013,karu,08701-2754,9.056,7.820,NA,NA,NA,NA,NA,NA,NA,NA,nasarawa,6700,NJ,karu,183804,NA,NA,NA,6700,NA,NA,9.056,7.820
183822,PHC Angwan Shaibu,2013,karu,7003,9.093,7.765,3115,365,0,55,55,54,22,25880,nasarawa,1958,NJ,karu,183822,22,25880,0,1958,55,3115,9.093,7.765
183910,PHC Dauro,2013,karu,07006-6195,9.121,7.819,2984,315,19,64,64,67,17,29000,nasarawa,1728,NJ,karu,183910,17,29000,0,1728,64,2984,9.121,7.819
183974,PHC Digizi,2013,karu,7840,9.128,7.846,1038,187,6,91,91,91,22,30540,nasarawa,2271,NJ,karu,183974,22,30540,0,2271,91,1038,9.128,7.846
184153,PHC Jangali,2013,karu,8103,9.236,8.086,NA,NA,NA,NA,NA,NA,NA,NA,nasarawa,88,NJ,karu,184153,NA,NA,NA,88,NA,NA,9.236,8.086
184348,PHC Buizi,2013,karu,7940,9.156,7.979,3430,305,20,77,77,78,15,44068,nasarawa,2336,NJ,karu,184348,15,44068,0,2336,77,3430,9.156,7.979
184603,PHC Gitata,2013,karu,7666,9.123,7.947,5193,478,0,73,74,73,18,34882,nasarawa,5413,NJ,karu,184603,18,34882,0,5413,73,5193,9.123,7.947
184612,PHC Chimpa,2013,karu,7644,9.036,7.870,1567,140,8,88,86,89,11,29990,nasarawa,1754,NJ,karu,184612,11,29990,0,1754,88,1567,9.036,7.870
184694,Banjo Memorial Hospital,2013,akure,7940,7.248,5.165,3647,542,0,78,75,80,20,37348,ondo,2823,NJ,akure,184694,20,37348,0,2823,78,3647,7.248,5.165
184773,PHC,2013,irepo,08701-2697,8.979,3.950,1276,259,0,78,74,79,28,29606,oyo,1832,NJ,irepo,184773,28,29606,0,1832,78,1276,8.979,3.950
184782,PHC Karimu,2013,iwajowa,8028,7.902,3.233,8287,1420,0,59,60,58,29,12380,oyo,10746,NJ,iwajowa,184782,29,12380,0,10746,59,8287,7.902,3.233
185129,PHC Ofeegun,2013,iwajowa,7305,7.877,3.150,4183,466,0,41,43,40,33,10653,oyo,6826,NJ,iwajowa,185129,33,10653,0,6826,41,4183,7.877,3.150
185262,PHC Elero,2013,kajola,7083,8.089,3.349,4952,1109,0,80,78,82,38,10918,oyo,12648,NJ,kajola,185262,38,10918,0,12648,80,4952,8.089,3.349
185572,PHC,2013,irepo,07764-1898,8.969,3.890,5537,812,9,78,76,79,21,31018,oyo,6018,NJ,irepo,185572,21,31018,0,6018,78,5537,8.969,3.890
185590,PHC Kajola,2013,kajola,07043-1624,8.091,3.342,13012,2919,0,65,62,67,36,11318,oyo,16329,NJ,kajola,185590,36,11318,0,16329,65,13012,8.091,3.342
185758,Olajumoke Folami,2013,kajola,08901-1107,8.091,3.356,NA,NA,NA,NA,NA,NA,NA,NA,oyo,128,NJ,kajola,185758,NA,NA,NA,128,NA,NA,8.091,3.356
185828,Udomi azuowa phc,2013,ika,7102,6.128,6.185,4344,992,7,65,66,65,34,15218,delta,10414,NJ,ika,185828,34,15218,0,10414,65,4344,6.128,6.185
186122,Basic Health Centre,2013,irele,08542-0803,6.413,4.983,NA,NA,NA,NA,NA,NA,NA,NA,ondo,502,NJ,irele,186122,NA,NA,NA,502,NA,NA,6.413,4.983
186131,Basic Health Centre,2013,irele,08544-0070,6.579,4.958,26499,1105,33,7,7,8,65,40170,ondo,8096,NJ,irele,186131,65,40170,1,8096,7,26499,6.579,4.958
186186,NPA Emergency Clinic,2013,warri,7960,5.520,5.723,25,NA,NA,100,100,NA,100,10700,delta,231,NJ,warri,186186,100,10700,0,231,100,25,5.520,5.723
186201,Eze medical centre,2013,udi,07430-1680,6.325,7.402,6297,812,13,55,60,52,26,13388,enugu,5864,NJ,udi,186201,26,13388,0,5864,55,6297,6.325,7.402
186283,Unity ngwo hospital and maternity,2013,udi,08648-3099,6.429,7.443,8078,824,24,72,73,67,16,35270,enugu,4960,NJ,udi,186283,16,35270,0,4960,72,8078,6.429,7.443
186371,Basic Health Centre,2013,irele,8102,6.579,5.058,7437,478,0,59,60,57,11,13348,ondo,5601,NJ,irele,186371,11,13348,0,5601,59,7437,6.579,5.058
186380,PHC EDIDE,2013,river,08901-1281,6.568,8.903,30631,6004,0,60,58,61,35,13499,cross_river,39803,NJ,river,186380,35,13499,0,39803,60,30631,6.568,8.903
186399,MCHC KOZA,2013,mai,7102,13.116,8.296,13282,1028,0,54,58,51,15,12998,katsina,10541,NJ,mai,186399,15,12998,0,10541,54,13282,13.116,8.296
186432,MOBILE AMBULANCE CLINIC,2013,mai,07306-5997,13.177,8.236,6145,599,8,54,54,54,18,32284,katsina,2629,NJ,mai,186432,18,32284,0,2629,54,6145,13.177,8.236
186584,DAN YAWA HC,2013,mai,07079-2697,13.053,8.225,10735,1212,18,79,82,77,16,35820,katsina,8691,NJ,mai,186584,16,35820,0,8691,79,10735,13.053,8.225
186618,KALANSAMI MCHC,2013,mai,07960-6989,13.120,8.344,2496,116,0,48,NA,48,10,31095,katsina,1089,NJ,mai,186618,10,31095,0,1089,48,2496,13.120,8.344
186867,JASSAI HC,2013,mai,07030-5991,13.105,8.356,4977,476,23,38,35,46,33,44490,katsina,4132,NJ,mai,186867,33,44490,0,4132,38,4977,13.105,8.356
186876,YAN KARA,2013,mai,08205-9441,13.098,8.272,6126,969,16,62,61,63,28,12322,katsina,8464,NJ,mai,186876,28,12322,0,8464,62,6126,13.098,8.272
186900,H/ZAMA,2013,mai,7710,13.034,8.239,12,NA,NA,100,100,NA,100,11000,katsina,78,NJ,mai,186900,100,11000,0,78,100,12,13.034,8.239
187046,KARATSA HC,2013,mai,08608-1176,13.050,8.250,NA,NA,NA,NA,NA,NA,NA,5700,katsina,4972,NJ,mai,187046,NA,5700,NA,4972,NA,NA,13.050,8.250
187134,YEROGEL HC,2013,mai,08628-0718,13.062,8.253,11145,1306,0,43,41,45,29,14730,katsina,7573,NJ,mai,187134,29,14730,0,7573,43,11145,13.062,8.253
187444,U/SUMMAI MCHC,2013,mai,7470,13.297,8.093,8935,1278,0,68,69,68,21,11918,katsina,10211,NJ,mai,187444,21,11918,0,10211,68,8935,13.297,8.093
187596,Unguwar mai kawo health clinic,2013,kankara,87313-0849,11.815,7.520,NA,NA,NA,NA,NA,NA,NA,2590,katsina,1364,NM,kankara,187596,NA,2590,NA,1364,NA,NA,11.815,7.520
187648,Army general hospital,2013,dange,88130,12.992,5.239,2245,83,93,63,77,52,46,4558,sokoto,4263,NM,dange,187648,46,4558,0,4263,63,2245,12.992,5.239
187745,Dispensary,2013,edu,87508-1300,8.781,5.181,61,NA,NA,100,100,100,38,3560,kwara,251,NM,edu,187745,38,3560,0,251,100,61,8.781,5.181
187897,Unguwar Baushi health clinic,2013,kankara,87701,11.812,7.418,NA,NA,NA,NA,NA,NA,NA,4000,katsina,2931,NM,kankara,187897,NA,4000,NA,2931,NA,NA,11.812,7.418
187967,Ogundipe Health Post,2013,ibadan,87801,7.393,3.919,1088,121,89,41,34,28,70,5714,oyo,1762,NM,ibadan,187967,70,5714,0,1762,41,1088,7.393,3.919
187985,PHC/MCH Yartsamiya,2013,kankara,87106,12.094,7.266,11467,634,90,65,63,66,46,6846,katsina,24554,NM,kankara,187985,46,6846,0,24554,65,11467,12.094,7.266
188030,FAMILY SUPPORT CLINIC,2013,mai,88003-8001,13.184,8.223,5365,446,84,85,84,86,42,6220,katsina,14497,NM,mai,188030,42,6220,0,14497,85,5365,13.184,8.223
188058,Oosa PHC,2013,isokan,87532,7.307,4.250,NA,NA,NA,NA,NA,NA,NA,4060,osun,1226,NM,isokan,188058,NA,4060,NA,1226,NA,NA,7.307,4.250
188182,Obebe PHC,2013,ayedaade,88240,7.393,4.370,NA,NA,NA,NA,NA,NA,NA,14280,osun,563,NM,ayedaade,188182,NA,14280,NA,563,NA,NA,7.393,4.370
188207,Egbeda Ereosun PHC,2013,ede,87507,7.621,4.473,NA,NA,NA,NA,NA,NA,NA,NA,osun,142,NM,ede,188207,NA,NA,NA,142,NA,NA,7.621,4.473
188304,Chika maternity home,2013,ahiazu,88061,5.620,7.308,NA,NA,NA,NA,NA,NA,NA,4723,imo,2456,NM,ahiazu,188304,NA,4723,NA,2456,NA,NA,5.620,7.308
188340,Muslim Special Hospital,2013,zaria,11369,11.079,7.687,837,159,6,77,77,76,50,20450,kaduna,1777,NY,zaria,188340,50,20450,0,1777,77,837,11.079,7.687
188429,Hafsat Medical Centre,2013,zaria,11530-0701,11.078,7.694,8654,665,18,68,65,70,15,30800,kaduna,7374,NY,zaria,188429,15,30800,0,7374,68,8654,11.078,7.694
188526,Guburnde Dispensary,2013,bayo,12208-3492,10.336,11.773,1601,222,49,63,63,64,24,28900,borno,1687,NY,bayo,188526,24,28900,0,1687,63,1601,10.336,11.773
188535,Isyaku Medicine Centre,2013,makarfi,12208,11.368,7.829,NA,NA,NA,NA,NA,NA,NA,NA,kaduna,618,NY,makarfi,188535,NA,NA,NA,618,NA,NA,11.368,7.829
188580,Lafiya Clinic,2013,soba,12208-3479,10.584,7.445,NA,NA,NA,NA,NA,NA,NA,NA,kaduna,830,NY,soba,188580,NA,NA,NA,830,NA,NA,10.584,7.445
188641,health post arajomeye,2013,ose,14802-1205,6.963,5.630,3417,491,30,70,71,69,22,25430,ondo,2411,NY,ose,188641,22,25430,0,2411,70,3417,6.963,5.630
188854,health post ago iwoye,2013,ose,10023,6.974,5.672,2877,NA,NA,26,30,24,64,31820,ondo,1643,NY,ose,188854,64,31820,0,1643,26,2877,6.974,5.672
189015,Tausayi Medicine Centre,2013,makarfi,10025,11.375,7.881,NA,NA,NA,NA,NA,NA,NA,NA,kaduna,630,NY,makarfi,189015,NA,NA,NA,630,NA,NA,11.375,7.881
189088,General Hospital Makarfi,2013,makarfi,12504-5000,11.380,7.886,5466,NA,NA,38,42,35,24,46370,kaduna,3137,NY,makarfi,189088,24,46370,0,3137,38,5466,11.380,7.886
189097,Health Clinic,2013,makarfi,10027-6598,11.407,7.908,5606,424,47,21,NA,21,50,44790,kaduna,2425,NY,makarfi,189097,50,44790,0,2425,21,5606,11.407,7.908
189264,Agira Dispensary,2013,rimi,11214,12.764,7.647,13,NA,NA,100,100,NA,100,7500,katsina,60,NY,rimi,189264,100,7500,0,60,100,13,12.764,7.647
189273,Mount Carmel Specialist Hospital,2013,enugu,11204,6.458,7.522,16,NA,NA,100,100,NA,100,7500,enugu,48,NY,enugu,189273,100,7500,0,48,100,16,6.458,7.522
189413,Mrs Anukwems Maternity Home,2013,enugu,10032-1560,6.441,7.499,NA,NA,NA,NA,NA,NA,NA,11025,enugu,819,NY,enugu,189413,NA,11025,NA,819,NA,NA,6.441,7.499
189501,Vita Hospital,2013,enugu,11201,6.446,7.503,NA,NA,NA,NA,NA,NA,NA,NA,enugu,1255,NY,enugu,189501,NA,NA,NA,1255,NA,NA,6.446,7.503
189705,Artizan Market Health Post,2013,enugu,14208-1098,6.453,7.507,4322,639,45,73,73,72,22,33332,enugu,4376,NY,enugu,189705,22,33332,0,4376,73,4322,6.453,7.507
189848,EMUDO HEALTH CENTRE,2013,aninri,13035,6.139,7.538,2440,NA,NA,78,76,79,18,29410,enugu,1093,NY,aninri,189848,18,29410,0,1093,78,2440,6.139,7.538
189857,Peace of God Clinic & Maternity Home,2013,ifo,11230,6.663,3.351,78,NA,NA,100,100,NA,100,6700,ogun,705,NY,ifo,189857,100,6700,0,705,100,78,6.663,3.351
189981,Gwaskwaram PHC,2013,bauchi,14052-0607,10.082,9.957,NA,NA,NA,NA,NA,NA,NA,NA,bauchi,38,NY,bauchi,189981,NA,NA,NA,38,NA,NA,10.082,9.957
190044,Bishi Dispensary,2013,bauchi,13699,10.253,10.090,6747,675,41,64,67,60,18,40540,bauchi,3538,NY,bauchi,190044,18,40540,0,3538,64,6747,10.253,10.090
190080,Gwaskwaram PH clinic,2013,bauchi,14620-2589,10.076,9.956,NA,NA,NA,NA,NA,NA,NA,NA,bauchi,63,NY,bauchi,190080,NA,NA,NA,63,NA,NA,10.076,9.956
190099,Kazomawa dispensary,2013,rimi,13346-1398,12.964,7.760,8374,504,34,26,25,28,34,46380,katsina,2872,NY,rimi,190099,34,46380,0,2872,26,8374,12.964,7.760
190114,Kutare dispensary,2013,rimi,10013-1919,12.905,7.688,667,NA,NA,55,52,57,31,17530,katsina,1668,NY,rimi,190114,31,17530,0,1668,55,667,12.905,7.688
190150,Egwu Achi Health Centre,2013,oji,10027,6.129,7.389,31851,1270,32,7,8,7,60,49138,enugu,25881,NY,oji,190150,60,49138,1,25881,7,31851,6.129,7.389
190248,Dawaki PHC,2013,bwari,10708-1998,9.127,7.388,1358,132,18,67,63,69,17,28095,fct,847,NY,bwari,190248,17,28095,0,847,67,1358,9.127,7.388
190372,Rijiyan Malam Dispensary,2013,bauchi,10003-7120,10.239,9.624,3193,159,12,8,9,6,75,41400,bauchi,949,NY,bauchi,190372,75,41400,1,949,8,3193,10.239,9.624
190415,Mobolaji hospital,2013,ona,14853,7.380,3.932,39999,2656,39,16,14,17,52,45358,oyo,21375,NY,ona,190415,52,45358,0,21375,16,39999,7.380,3.932
190424,Ife Olu maternity clinic,2013,ona,10065,7.339,3.962,NA,NA,NA,NA,NA,NA,NA,NA,oyo,1030,NY,ona,190424,NA,NA,NA,1030,NA,NA,7.339,3.962
190503,Kaoyuk hospital,2013,ona,12538-1499,7.380,3.932,1123,NA,NA,90,88,91,50,27720,oyo,3869,NY,ona,190503,50,27720,0,3869,90,1123,7.380,3.932
190512,Arinola mrmorial clinic and maternity center,2013,ona,10010,7.374,3.930,19863,1078,0,25,26,24,24,6210,oyo,15412,NY,ona,190512,24,6210,0,15412,25,19863,7.374,3.930
190549,Lago HC,2013,darazo,11210,11.182,10.489,19843,1022,0,32,31,32,18,6184,bauchi,13287,NY,darazo,190549,18,6184,0,13287,32,19843,11.182,10.489
190558,Ladoja PHC,2013,iwajowa,10314,7.983,3.253,9785,1968,0,100,100,100,25,6158,oyo,11684,NY,iwajowa,190558,25,6158,0,11684,100,9785,7.983,3.253
190567,Adun Medical center,2013,ona,10031,7.379,3.937,22171,1292,0,34,31,37,18,6089,oyo,12533,NY,ona,190567,18,6089,0,12533,34,22171,7.379,3.937
190576,Ike Olu maternity clinic,2013,ona,10016,7.336,3.971,NA,NA,NA,NA,NA,NA,NA,NA,oyo,3142,NY,ona,190576,NA,NA,NA,3142,NA,NA,7.336,3.971
190594,Exodus maternity clinic,2013,ona,10065,7.346,3.952,30758,1855,0,30,30,30,21,6129,oyo,18439,NY,ona,190594,21,6129,0,18439,30,30758,7.346,3.952
190600,Emilagba maternity clinic,2013,ona,10019,7.343,3.949,13753,1783,0,34,32,36,40,6059,oyo,12091,NY,ona,190600,40,6059,0,12091,34,13753,7.343,3.949
190637,Mosebolatan naturalist hospital,2013,ona,10468,7.364,3.938,15518,463,0,23,22,24,15,6108,oyo,8769,NY,ona,190637,15,6108,0,8769,23,15518,7.364,3.938
190646,Model PHC ogbere,2013,ona,11225,7.376,3.952,7563,485,0,91,87,94,14,6032,oyo,5096,NY,ona,190646,14,6032,0,5096,91,7563,7.376,3.952
190655,New life maternity clinic,2013,ona,11201,7.376,3.946,16870,2008,0,77,85,67,21,6069,oyo,12303,NY,ona,190655,21,6069,0,12303,77,16870,7.376,3.946
190664,Ore ofe maternity center,2013,ona,11367,7.380,3.934,19032,1248,0,37,37,37,20,6207,oyo,15769,NY,ona,190664,20,6207,0,15769,37,19032,7.380,3.934
190682,Ona ara clinic,2013,ogo,11101,8.049,4.153,NA,NA,NA,NA,NA,NA,NA,NA,oyo,458,NY,ogo,190682,NA,NA,NA,458,NA,NA,8.049,4.153
190691,PHC ORILE OJE,2013,ogo,11451,8.075,4.207,13319,927,0,35,36,35,23,6096,oyo,6312,NY,ogo,190691,23,6096,0,6312,35,13319,8.075,4.207
190716,Modeni,2013,afijio,14201-1084,7.712,3.910,1171,237,47,79,79,79,28,22850,oyo,2860,NY,afijio,190716,28,22850,0,2860,79,1171,7.712,3.910
190725,Omotayo Clinic & Maternity Home,2013,abeokuta,14226-3592,7.159,3.323,3061,NA,NA,49,47,50,27,24090,ogun,2558,NY,abeokuta,190725,27,24090,0,2558,49,3061,7.159,3.323
190761,Mahuta Dispensary,2013,rimi,10962-1210,12.786,7.712,1594,253,11,72,73,71,25,24790,katsina,1877,NY,rimi,190761,25,24790,0,1877,72,1594,12.786,7.712
190770,Maternal and child health clinic,2013,rimi,11769-1999,12.850,7.709,2675,NA,NA,78,76,81,18,28390,katsina,2598,NY,rimi,190770,18,28390,0,2598,78,2675,12.850,7.709
190983,Lafemwa Maternity Health Centre,2013,abeokuta,14901,7.159,3.326,2324,299,37,80,77,81,17,38150,ogun,1487,NY,abeokuta,190983,17,38150,0,1487,80,2324,7.159,3.326
191126,Sabo Primary Health Center,2013,abeokuta,10001-5992,7.169,3.320,4449,NA,NA,45,44,45,61,5105,ogun,9111,NY,abeokuta,191126,61,5105,0,9111,45,4449,7.169,3.320
191241,Community Health Post Ndimoko,2013,ideato,10458,5.876,7.257,36189,1606,34,47,46,48,11,43902,imo,14874,NY,ideato,191241,11,43902,0,14874,47,36189,5.876,7.257
191320,Jeka areda health clinic,2013,kankara,10011,11.934,7.329,NA,NA,NA,NA,NA,NA,NA,NA,katsina,97,NY,kankara,191320,NA,NA,NA,97,NA,NA,11.934,7.329
191515,Umunama health centre Oboama,2013,ezinihitte,13323,5.457,7.280,5017,286,25,27,27,28,36,46080,imo,1855,NY,ezinihitte,191515,36,46080,0,1855,27,5017,5.457,7.280
191533,Udeagabala Foundation Hospital maternity,2013,nnewi,13820-4020,6.034,6.907,5392,262,15,84,81,86,12,38930,anambra,1545,NY,nnewi,191533,12,38930,0,1545,84,5392,6.034,6.907
191597,Ebenator Clinic,2013,nnewi,10035-2737,6.022,6.916,6,NA,NA,100,100,100,17,16693,anambra,317,NY,nnewi,191597,17,16693,0,317,100,6,6.022,6.916
191621,Ndezeuruagu Health Centre,2013,nnewi,14075-1597,6.030,6.897,865,NA,NA,81,79,83,27,19940,anambra,977,NY,nnewi,191621,27,19940,0,977,81,865,6.030,6.897
191630,GENERAL HOSPITAL MALUMFASHI,2013,malumfashi,14456,11.804,7.620,4385,NA,NA,49,48,51,30,46165,katsina,2476,NY,malumfashi,191630,30,46165,0,2476,49,4385,11.804,7.620
191649,KOGO MAIDAWA HEALTH CLINIC,2013,matazu,11549,12.282,7.689,22733,1068,27,59,60,58,11,37400,katsina,10373,NY,matazu,191649,11,37400,0,10373,59,22733,12.282,7.689
191676,KURMIN SARKI HEALTH CLINIC,2013,malumfashi,14744,11.698,7.595,807,185,38,91,92,90,30,27728,katsina,1160,NY,malumfashi,191676,30,27728,0,1160,91,807,11.698,7.595
191931,MCHC MALUMFASHI,2013,malumfashi,10801-1890,11.777,7.615,5911,769,16,92,93,92,17,32770,katsina,3775,NY,malumfashi,191931,17,32770,0,3775,92,5911,11.777,7.615
191968,KATANGA HEALTH CLINIC,2013,malumfashi,14850-7002,11.716,7.605,15658,NA,NA,67,64,68,17,38400,katsina,7039,NY,malumfashi,191968,17,38400,0,7039,67,15658,11.716,7.605
192040,YALWA HEALTH CLINIC,2013,matazu,10027-4649,12.190,7.546,109,34,15,55,43,65,67,18460,katsina,456,NY,matazu,192040,67,18460,0,456,55,109,12.190,7.546
192110,NA ALMA PHC,2013,malumfashi,10023-6588,11.983,7.619,2331,NA,NA,7,10,6,64,36720,katsina,852,NY,malumfashi,192110,64,36720,1,852,7,2331,11.983,7.619
192165,DAYI,2013,malumfashi,10562,11.966,7.690,NA,NA,NA,NA,NA,NA,NA,8600,katsina,113,NY,malumfashi,192165,NA,8600,NA,113,NA,NA,11.966,7.690
192192,GWANAMARDE HEALTH CLINIC,2013,malumfashi,14478,11.857,7.692,1375,NA,NA,88,86,88,19,27465,katsina,1833,NY,malumfashi,192192,19,27465,0,1833,88,1375,11.857,7.692
192323,KUKOKI PHC,2013,faskari,13214-1301,11.582,7.143,5924,581,45,62,64,61,17,30460,katsina,3041,NY,faskari,192323,17,30460,0,3041,62,5924,11.582,7.143
192439,Kabuke health post,2013,kankara,11201-5372,12.061,7.334,5695,750,9,87,85,88,18,34120,katsina,7494,NY,kankara,192439,18,34120,0,7494,87,5695,12.061,7.334
192448,Baushe Health Post,2013,dambatta,11548-1300,12.517,8.633,6001,531,19,81,80,81,13,34070,kano,6854,NY,dambatta,192448,13,34070,0,6854,81,6001,12.517,8.633
192554,Maternal and child health care kankara,2013,kankara,10962-2219,11.930,7.411,NA,NA,NA,NA,NA,NA,NA,NA,katsina,188,NY,kankara,192554,NA,NA,NA,188,NA,NA,11.930,7.411
192563,Maternal and child health centre,2013,kankara,11717,11.912,7.623,NA,NA,NA,NA,NA,NA,NA,NA,katsina,287,NY,kankara,192563,NA,NA,NA,287,NA,NA,11.912,7.623
192624,"Basic Primary Health Center, Ogwuaniocha.",2013,ogbaru,11204,5.792,6.748,24,NA,NA,100,100,NA,100,9600,anambra,157,NY,ogbaru,192624,100,9600,0,157,100,24,5.792,6.748
192703,Asibitin unguwar tabo,2013,kankara,10471-4098,11.982,7.427,7268,637,15,66,69,64,16,35725,katsina,3508,NY,kankara,192703,16,35725,0,3508,66,7268,11.982,7.427
192712,Primary health center Tudu,2013,kankara,10027-4698,12.069,7.469,953,NA,NA,34,27,41,25,36500,katsina,909,NY,kankara,192712,25,36500,0,909,34,953,12.069,7.469
192749,Unguwar Alhaji Soda,2013,kankara,10577,11.948,7.491,3930,206,0,77,74,78,16,35370,katsina,2299,NY,kankara,192749,16,35370,0,2299,77,3930,11.948,7.491
192785,OWEVWE PHC,2013,ughelli,12208,5.513,6.056,368,26,17,16,33,14,51,11130,delta,613,NY,ughelli,192785,51,11130,0,613,16,368,5.513,6.056
192819,Asibitin unguwar rabo,2013,kankara,12601,12.115,7.322,10351,NA,NA,37,43,34,30,31290,katsina,5536,NY,kankara,192819,30,31290,0,5536,37,10351,12.115,7.322
192864,Primary health centre,2013,kankara,10021-4597,11.954,7.265,4147,336,28,75,68,76,13,26640,katsina,1721,NY,kankara,192864,13,26640,0,1721,75,4147,11.954,7.265
192925,Maternal and child care centre,2013,kankara,14214-2695,11.954,7.265,1505,374,19,54,54,54,53,23812,katsina,2373,NY,kankara,192925,53,23812,0,2373,54,1505,11.954,7.265
193016,Trinity Medical Centre Umudihe Orlu,2013,orlu,10522,5.798,7.052,6546,NA,NA,57,52,60,22,17576,imo,8693,NY,orlu,193016,22,17576,0,8693,57,6546,5.798,7.052
193052,PRIMARY HEALTH CLINIC,2013,darazo,11218,11.430,10.804,24,NA,NA,92,92,NA,73,10400,bauchi,296,NY,darazo,193052,73,10400,0,296,92,24,11.430,10.804
193061,Gizaki primary health climic,2013,bogoro,11218,9.585,9.650,6,NA,NA,100,100,NA,100,8600,bauchi,37,NY,bogoro,193061,100,8600,0,37,100,6,9.585,9.650
193070,Baram Dispensary,2013,bogoro,10002-6301,9.551,9.753,25,NA,NA,80,80,NA,60,9500,bauchi,92,NY,bogoro,193070,60,9500,0,92,80,25,9.551,9.753
193247,Primaryhealthcare Tadnum,2013,bogoro,11223-2010,9.606,9.786,NA,NA,NA,NA,NA,NA,NA,5586,bauchi,237,NY,bogoro,193247,NA,5586,NA,237,NA,NA,9.606,9.786
193292,Unguwan Gyada Dispensary,2013,bogoro,11571-5002,9.654,9.763,3242,450,29,73,71,73,21,25710,bauchi,3962,NY,bogoro,193292,21,25710,0,3962,73,3242,9.654,9.763
193353,Lere north,2013,tafawa,12550,9.713,9.338,3551,412,24,86,87,86,15,26250,bauchi,2166,NY,tafawa,193353,15,26250,0,2166,86,3551,9.713,9.338
193399,Chadi Dispensary,2013,dambam,10471-1093,11.617,10.675,2416,339,12,73,70,74,22,30290,bauchi,1724,NY,dambam,193399,22,30290,0,1724,73,2416,11.617,10.675
193405,Ruga Maternity,2013,alkaleri,10029-6574,9.508,10.733,NA,NA,NA,NA,NA,NA,NA,NA,bauchi,960,NY,alkaleri,193405,NA,NA,NA,960,NA,NA,9.508,10.733
193584,Shango Matanity,2013,kirfi,14618-3790,10.561,10.417,3838,NA,NA,68,66,69,16,29624,bauchi,2747,NY,kirfi,193584,16,29624,0,2747,68,3838,10.561,10.417
193645,OLUSEUN HOSPITAL,2013,akure,10805-2339,7.237,5.187,1554,75,1,57,66,56,58,31260,ondo,3635,NY,akure,193645,58,31260,0,3635,57,1554,7.237,5.187
193654,Momaak Specialist Hospital,2013,akure,10011-8603,7.264,5.168,4978,539,15,67,67,66,30,40426,ondo,9706,NY,akure,193654,30,40426,0,9706,67,4978,7.264,5.168
193751,Faith Clinics and maternity,2013,ifo,13148-0800,6.712,3.349,NA,NA,NA,NA,NA,NA,NA,NA,ogun,981,NY,ifo,193751,NA,NA,NA,981,NA,NA,6.712,3.349
193821,FRUKAMA PRIMARY HEALTH CENTRE,2013,ughelli,10013-2921,5.453,5.869,NA,NA,NA,NA,NA,NA,NA,NA,delta,1427,NY,ughelli,193821,NA,NA,NA,1427,NA,NA,5.453,5.869
193830,UDU GARGE HEALTH POST.UDU,2013,udu,10595,5.509,5.784,NA,NA,NA,NA,NA,NA,NA,NA,delta,1310,NY,udu,193830,NA,NA,NA,1310,NA,NA,5.509,5.784
193894,Oluwa-seun maternity and child welfare clinic,2013,ogbomoso,10115,8.117,4.256,NA,NA,NA,NA,NA,NA,NA,NA,oyo,215,NY,ogbomoso,193894,NA,NA,NA,215,NA,NA,8.117,4.256
